"Label","Qualified API Name","Developer Name","Data Type","Description","Label"
"Title","Title__c","TTS_Protection__ChangeEvent","Text(244)","","Change Event: Protection"
"Trademark registration number","Trademark_registration_number__c","TTS_Protection__ChangeEvent","Text(100)  (External ID)","","Change Event: Protection"
"Type","Type__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"US Patent Classification","United_States_Patent_Classification__c","TTS_Protection__ChangeEvent","Text(100)","","Change Event: Protection"
"Work Format","Work_Format__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Total Active Litigations","Total_Active_Litigations__c","TTS_Protection__ChangeEvent","Roll-Up Summary (COUNT Protection Litigation)","","Change Event: Protection"
"Expiration Date","Expiration_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Work Format Detail","Work_Format_Detail__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Change Event ID","Id","TTS_Protection_Claim__ChangeEvent","Lookup()","","Change Event: Protection Claim"
"Replay ID","ReplayId","TTS_Protection_Claim__ChangeEvent","External Lookup","","Change Event: Protection Claim"
"Change Event Header","ChangeEventHeader","TTS_Protection_Claim__ChangeEvent","Complex Value","","Change Event: Protection Claim"
"<Entity>","Name","TTS_Protection_Claim__ChangeEvent","Text(80)","","Change Event: Protection Claim"
"Created Date","CreatedDate","TTS_Protection_Claim__ChangeEvent","Date/Time","","Change Event: Protection Claim"
"Created By","CreatedById","TTS_Protection_Claim__ChangeEvent","Lookup(User)","","Change Event: Protection Claim"
"Last Modified Date","LastModifiedDate","TTS_Protection_Claim__ChangeEvent","Date/Time","","Change Event: Protection Claim"
"Last Modified By","LastModifiedById","TTS_Protection_Claim__ChangeEvent","Lookup(User)","","Change Event: Protection Claim"
"Patent","Protection__c","TTS_Protection_Claim__ChangeEvent","Master-Detail(Protection)","","Change Event: Protection Claim"
"Claim","Claim__c","TTS_Protection_Claim__ChangeEvent","Long Text Area(131072)","","Change Event: Protection Claim"
"Status","Status__c","TTS_Protection_Claim__ChangeEvent","Picklist","","Change Event: Protection Claim"
"Change Event ID","Id","TTS_Protection_Family__ChangeEvent","Lookup()","","Change Event: Protection Family"
"Replay ID","ReplayId","TTS_Protection_Family__ChangeEvent","External Lookup","","Change Event: Protection Family"
"Change Event Header","ChangeEventHeader","TTS_Protection_Family__ChangeEvent","Complex Value","","Change Event: Protection Family"
"Owner","OwnerId","TTS_Protection_Family__ChangeEvent","Lookup(User,Group)","","Change Event: Protection Family"
"<Entity>","Name","TTS_Protection_Family__ChangeEvent","Text(80)","","Change Event: Protection Family"
"Created Date","CreatedDate","TTS_Protection_Family__ChangeEvent","Date/Time","","Change Event: Protection Family"
"Created By","CreatedById","TTS_Protection_Family__ChangeEvent","Lookup(User)","","Change Event: Protection Family"
"Last Modified Date","LastModifiedDate","TTS_Protection_Family__ChangeEvent","Date/Time","","Change Event: Protection Family"
"Last Modified By","LastModifiedById","TTS_Protection_Family__ChangeEvent","Lookup(User)","","Change Event: Protection Family"
"Additional notes","Additional_notes__c","TTS_Protection_Family__ChangeEvent","Long Text Area(32768)","","Change Event: Protection Family"
"Earliest Priority Date","Earliest_Priority_Date__c","TTS_Protection_Family__ChangeEvent","Date","","Change Event: Protection Family"
